Iteration Report: 

| iter  | success | list size |  fpoints |    min alpha    |     max alpha    |
|     0 |    --   |       8   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     1 |     1   |      11   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     2 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     3 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     4 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     5 |     1   |       9   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     6 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     7 |     1   |      11   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     8 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|     9 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    10 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    11 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    12 |     1   |       9   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    13 |     1   |       9   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    14 |     1   |      10   |       0   | +1.00000000e+00 | +1.00000000e+00 |
|    15 |     1   |      11   |       0   | +1.00000000e+00 | +1.00000000e+00 |
